player_name,comment,date,platform,sentiment,confidence
이강인,선배들한테 그렇게 행동하고도 잘 나간다고 다 용서되는 건 아님,2026-03-05,에펨코리아,부정,0.8741
황희찬,기회 주어지면 빅클럽에서도 충분히 활약할 수 있는 선수임,2026-04-09,트위터,긍정,0.8554
설영우,즈베즈다가 유럽 챔피언스리그 예선도 뛰니까 노출도 충분함,2026-04-03,트위터,긍정,0.8434
설영우,경기마다 인상적인 장면 만들어내는 거 보면 준비 잘 돼있었음,2026-05-12,에펨코리아,긍정,0.812
김민재,부상 후유증이 아직 완전히 가시지 않은 것 같아 걱정됨,2026-05-20,트위터,부정,0.8379
황희찬,황희찬처럼 한결같이 꾸준한 선수가 진짜 진정한 프로임,2026-02-13,에펨코리아,긍정,0.885
설영우,해외 진출 성공한 것만으로도 한국 풀백 역사에 남을 것 같음,2026-03-10,네이버,긍정,0.8349
손흥민,솔직히 2-3년 전이랑 비교하면 스피드가 확연히 떨어진 게 보임,2026-03-28,에펨코리아,부정,0.8684
설영우,즈베즈다가 유럽 빅리그는 아니라서 진짜 실력 검증이 되는지 모르겠음,2026-03-06,네이버,부정,0.7952
손흥민,체력적으로 한계가 오는 게 경기에서 눈에 띄기 시작함,2026-03-11,네이버,부정,0.9014
설영우,세르비아 리그 수준이 높지 않아서 잘한다고 해도 의미가 제한적임,2026-02-04,에펨코리아,부정,0.8217
황희찬,국대 경기에서도 황희찬 들어오면 공격에 바로 활력이 생김,2026-05-01,에펨코리아,긍정,0.943
설영우,더 좋은 리그로 못 간 게 아쉬움 즈베즈다보다는 올라가야 했는데,2026-05-07,네이버,부정,0.8754
이강인,팬들이랑 갈등이 완전히 해결됐다는 느낌이 아직 안 옴,2026-05-05,에펨코리아,부정,0.9222
이강인,PSG에서 주전으로 활약하는 거 보면 실력만큼은 인정할 수밖에 없음,2026-03-31,에펨코리아,긍정,0.8866
설영우,이 나이에 세르비아 리그면 솔직히 커리어 피크가 아쉬울 수 있음,2026-05-09,에펨코리아,부정,0.8347
이강인,이강인 어시스트 장면 보면 창의성이 유럽 최고 수준임,2026-03-01,네이버,긍정,0.8595
이강인,챔피언스리그에서 이강인 퍼포먼스 진짜 인상적이었음,2026-03-05,네이버,긍정,0.9464
이강인,이 나이에 PSG 주전 자리 잡은 거 대단한 거 맞음,2026-01-18,트위터,긍정,0.807
김민재,뮌헨 수비 실점이 늘어난 게 김민재 컨디션 문제일 수 있음,2026-01-06,에펨코리아,부정,0.8803
손흥민,후반전에 활동량이 줄어드는 게 팬 눈에도 보임,2026-03-08,네이버,부정,0.781
손흥민,이제 슬슬 은퇴 타이밍을 진지하게 고민해야 할 것 같음,2026-05-10,에펨코리아,부정,0.9009
손흥민,전성기 손흥민이랑 비교하면 지금은 확실히 기울고 있음,2026-03-08,네이버,부정,0.8847
손흥민,35살이면 솔직히 커리어 마무리를 생각해야 하는 나이 아닌가,2026-05-22,네이버,부정,0.831
이강인,이강인 패스 센스는 진짜 세계급이라고 생각함,2026-03-20,네이버,긍정,0.9288
이강인,한국 선수 중에서 기술적으로 이강인이 최고라고 봄,2026-02-03,에펨코리아,긍정,0.8434
손흥민,MLS 왔다는 게 사실상 유럽에서 통하는 시대가 끝났다는 거잖아,2026-01-04,트위터,부정,0.8033
손흥민,LAFC 팀 성적이 계속 오락가락하는 게 손흥민 입장에서도 아쉬울 것,2026-01-23,에펨코리아,부정,0.9236
김민재,전성기 때 그 퍼포먼스를 다시 볼 수 있을지 모르겠음,2026-04-02,네이버,부정,0.7834
설영우,즈베즈다에서 잘해도 국내 팬들이 경기 챙겨보기가 쉽지 않음,2026-04-13,네이버,부정,0.8355
김민재,국대 경기에서 집중력이 흔들리는 장면이 종종 나와서 걱정됨,2026-02-22,트위터,부정,0.8493
김민재,부상 선수를 너무 빨리 복귀시킨 거 아닌가 싶음,2026-03-27,네이버,부정,0.8052
황희찬,EPL에서 이렇게 꾸준한 한국 선수를 보게 될 줄은 몰랐음,2026-01-22,네이버,긍정,0.9036
김민재,몸값 대비 이번 시즌은 기대에 못 미치는 게 사실임,2026-04-02,에펨코리아,부정,0.7976
설영우,세르비아 리그 상대로 잘한다고 EPL이나 분데스리가 통할지는 별개임,2026-01-14,에펨코리아,부정,0.8114
손흥민,나이 앞에 장사 없다고 이제 한계가 보이는 게 안타까움,2026-03-23,네이버,부정,0.8305
김민재,뮌헨 수비 라인 전체가 흔들리는데 김민재도 예외는 아닌 것 같음,2026-02-07,트위터,부정,0.7888
황희찬,울버햄튼이 EPL 중하위권이라 황희찬 가치가 제대로 평가 못 받는 게 아쉬움,2026-02-11,트위터,부정,0.8573
손흥민,최근 경기 보면 결정적인 순간에 예전보다 약해진 느낌이 있음,2026-04-30,트위터,부정,0.7939
이강인,PSG 팬들도 이강인 실력은 제대로 인정하더라,2026-04-14,에펨코리아,긍정,0.8216
설영우,즈베즈다가 첫 해외 행선지라는 게 기대보다 작은 무대라 아쉬움,2026-02-03,에펨코리아,부정,0.82
김민재,완전히 회복되지 않은 상태에서 뛰는 게 오히려 걱정이 됨,2026-05-28,에펨코리아,부정,0.8952
김민재,기복이 생긴 게 부상 때문인지 폼이 떨어진 건지 모르겠음,2026-01-09,트위터,부정,0.7994
황희찬,빅클럽으로 이적했으면 더 높이 평가받을 텐데 팀 선택이 너무 아쉬움,2026-01-22,네이버,부정,0.8726
황희찬,이 나이에 빅클럽 못 가면 커리어 정점을 찍기 어려울 수 있어서 걱정됨,2026-03-26,에펨코리아,부정,0.8814
설영우,재능에 비해 리그 수준이 낮다는 게 팬으로서 가장 아쉬운 부분,2026-02-15,네이버,부정,0.9205
김민재,챔피언스리그에서 결정적인 실수가 나오면 어떡하나 싶음,2026-03-11,네이버,부정,0.8171
황희찬,화제성 없이 묻혀가는 게 좋은 선수 입장에서 안타까운 현실임,2026-05-03,네이버,부정,0.7881
이강인,빅클럽에서 살아남은 것 자체가 대단한 거임,2026-01-25,트위터,긍정,0.8177
이강인,이강인 드리블 보면 기술적으로 최정상급임을 부정할 수 없음,2026-02-19,네이버,긍정,0.8463
설영우,세르비아에서 잘하고 빅리그 가는 게 쉽지 않은 루트라 걱정됨,2026-03-04,네이버,부정,0.8772
김민재,부상 이후 수비 강도가 예전만큼 강하게 느껴지지 않음,2026-03-02,트위터,부정,0.8386
김민재,복귀 초반엔 좋았는데 시간이 지날수록 흔들리는 것 같음,2026-05-01,네이버,부정,0.9107
설영우,즈베즈다에서 오래 있으면 더 큰 리그 갈 타이밍을 놓칠 수 있음,2026-04-27,트위터,부정,0.8714
설영우,좋은 선수인데 무대가 너무 작다는 생각이 들어서 아쉬움,2026-05-17,에펨코리아,부정,0.8057
황희찬,울버햄튼 팀 성적이 계속 좋지 않아서 황희찬 활약이 더 빛나지 못함,2026-03-29,네이버,부정,0.9149
김민재,이 상태가 계속되면 이적 시장에서 가치가 떨어질 수 있음,2026-03-10,에펨코리아,부정,0.7921
김민재,스쿼드 변화 있으면 김민재 주전 자리도 위협받을 수 있다고 봄,2026-02-04,에펨코리아,부정,0.8474
설영우,국내 팬들 입장에서 경기 보기 너무 어려운 리그라서 관심이 멀어짐,2026-05-08,네이버,부정,0.8894
설영우,이적 루머가 또 나와야 하는데 즈베즈다에서 묶일 것 같아 걱정,2026-02-08,트위터,부정,0.8045
이강인,이번 시즌 경기력 보면 확실히 성장했다는 게 느껴짐,2026-03-01,네이버,긍정,0.9224
손흥민,은퇴 타이밍 잘 잡는 것도 레전드 선수의 몫이라고 봄,2026-02-01,네이버,부정,0.7945
황희찬,지금 이 폼이 앞으로 얼마나 더 유지될지 모르는 게 불안하기도 함,2026-04-22,에펨코리아,부정,0.897
이강인,이강인이 제대로 정신 차리고 축구에 집중하면 최고가 될 수 있음,2026-04-16,네이버,긍정,0.8271
손흥민,팬이지만 지금 이 상태로 계속하면 커리어 이미지가 아쉬워질 것 같음,2026-01-03,네이버,부정,0.9071
황희찬,빅 무대에서 보여줄 기회가 없다는 게 팬 입장에서 제일 아쉬운 부분,2026-04-24,네이버,부정,0.9112
손흥민,MLS로 간 것 자체가 유럽 무대에서의 손흥민은 끝났다는 신호임,2026-01-21,에펨코리아,부정,0.8706
황희찬,EPL 강팀 이적 못 하면 커리어에서 뭔가 아쉬움이 남을 것 같음,2026-03-05,트위터,부정,0.8997
설영우,세르비아 리그는 결국 더 좋은 곳 가기 위한 경유지여야 하는데 그게 될지,2026-03-15,트위터,부정,0.8369
이강인,유럽 빅리그에서 이 나이에 이 활약이면 한국 축구 희망임,2026-03-14,네이버,긍정,0.8872
